Tags,project_type,category,project,total_debt
design,Quantum,Quantum-Chemistry,SebWouters/CheMPS2,0.7936507936507935
design,Quantum,Cryptography,supernomad/quantum,9.0
design,Quantum,Cryptography,exaexa/codecrypt,0
design,Quantum,Cryptography,mupq/pqm4,7.6923076923076925
design,Quantum,Cryptography,theQRL/QRL,7.677657421735508
design,Quantum,Experimentation,m-labs/artiq,3.1
design,Quantum,Experimentation,BBN-Q/Qlab,0.3915984336062656
design,Quantum,Experimentation,sedabull/quantum-shell,0.0
design,Quantum,Experimentation,zlatko-minev/pyEPR,5.966898954703833
design,Quantum,Experimentation,lneuhaus/pyrpl,1.5241966213641562
design,Quantum,Experimentation,BBN-Q/QGL,0.64
design,Quantum,Experimentation,BBN-Q/PyQLab,0.4000000000000001
design,Quantum,Experimentation,qutech/qupulse,14.845461182769531
design,Quantum,Experimentation,iitis/QuantumInformation.jl,0
design,Quantum,Assembly,XanaduAI/blackbird,2.3127753303964758
design,Quantum,Assembly,BBN-Q/QGL.jl,0
