Repos_Name,Names,Created_at,login,Fork,Size,stars,releases,open_issues,commits,contributors,Travis,Docker,Language,tyoe,total_pr,total_is,created_at,updated_at,age,file_name,flag,Type,homepage,Description
evaleev/libint,libint,2013-08-13T21:17:06Z,evaleev,59,34752,104,44,27,1107,16,1,0,C++,1,50,155,2013-08-13T21:17:06Z,2020-09-23T19:38:25Z,2597,libint_65_snapshots,1,Library/ Framework,,Libint: high-performance library for computing Gaussian integrals in quantum mechanics
MolSSI-BSE/basis_set_exchange,basis_set_exchange,2017-12-04T19:56:23Z,MolSSI-BSE,15,44582,61,41,21,888,8,1,0,Python,1,16,92,2017-12-04T19:56:23Z,2020-09-09T13:08:47Z,1009,basis_set_exchange_snapshots,1,Chemistry/ Other-Quantum,https://molssi-bse.github.io/basis_set_exchange/,A repository for quantum chemistry basis sets
Qiskit/qiskit,qiskit,2018-12-12T22:04:07Z,Qiskit,395,96678,978,34,41,612,112,1,0,Python,1,708,964,2018-12-12T22:04:07Z,2020-09-25T12:02:31Z,652,qiskit_snapshots,1,Full-stack Library/ Framework,https://qiskit.org,"Qiskit is an open-source framework for working with noisy quantum computers at the level of pulses, circuits, and algorithms."
mabuchilab/QNET,QNET,2012-03-26T00:17:35Z,mabuchilab,11,6996,42,33,25,866,8,1,0,Python,1,3,68,2012-03-26T00:17:35Z,2020-09-18T17:04:57Z,3098,QNET_snapshots,1,Quantum Algorithsm,https://qnet.readthedocs.io/,Computer algebra package for quantum mechanics and photonic quantum networks
MolSSI/QCElemental,QCElemental,2018-08-31T17:37:37Z,MolSSI,38,1978,66,32,21,790,19,1,0,Python,1,186,221,2018-08-31T17:37:37Z,2020-09-08T18:29:09Z,739,QCElemental_snapshots,1,Chemistry/ Other-Quantum,http://docs.qcarchive.molssi.org/projects/qcelemental/en/latest/,"Periodic table, physical constants, and molecule parsing for quantum chemistry."
m-labs/artiq,artiq,2014-05-25T18:09:36Z,m-labs,92,13214,223,31,190,7183,30,0,0,Python,1,222,1321,2014-05-25T18:09:36Z,2020-09-25T14:02:09Z,2314,artiq_snapshots,1,Experimentation,https://m-labs.hk/artiq,A leading-edge control system for quantum information experiments
rigetti/qvm,qvm,2018-11-20T22:14:22Z,rigetti,30,1047,260,31,69,414,13,0,1,Common Lisp,1,151,191,2018-11-20T22:14:22Z,2020-09-25T12:00:33Z,674,qvm_snapshots,1,VM/ Other-Quantum,,The @rigetti high-performance quantum virtual machine.
softwareQinc/qpp,qpp,2014-03-21T20:00:40Z,softwareQinc,66,284707,208,30,2,2619,5,1,0,C++,1,51,79,2014-03-21T20:00:40Z,2020-09-24T21:33:52Z,2379,qpp_72_snapshots,1,Simulator,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0208073,A modern C++11 quantum computing library
supernomad/quantum,quantum,2016-05-31T06:23:57Z,supernomad,7,752,44,28,6,416,1,0,1,Go,1,86,107,2016-05-31T06:23:57Z,2020-07-13T17:31:52Z,1504,quantum_snapshots,1,Other-Quantum,,"A lightweight, encrypted, WAN oriented, software defined network device."
MolSSI/QCEngine,QCEngine,2018-03-01T22:25:35Z,MolSSI,41,1622,60,28,29,1067,21,1,0,Python,1,197,241,2018-03-01T22:25:35Z,2020-09-10T10:18:29Z,923,QCEngine_snapshots,1,Chemistry/ Other-Quantum,http://docs.qcarchive.molssi.org/projects/qcengine/,Quantum chemistry program executor and IO standardizer (QCSchema).
marvel-nccr/quantum-mobile,quantum-mobile,2017-10-09T22:10:36Z,marvel-nccr,16,3286,44,27,18,282,3,1,0,Shell,1,7,101,2017-10-09T22:10:36Z,2020-09-20T12:48:34Z,1076,quantum-mobile_snapshots,1,VM/ Other-Quantum,https://materialscloud.org/quantum-mobile,A Virtual Machine for computational materials science
QuantumBFS/YaoBlocks.jl,YaoBlocks.jl,2018-11-22T17:10:59Z,QuantumBFS,7,516,14,27,21,307,5,1,0,Julia,1,100,119,2018-11-22T17:10:59Z,2020-09-15T08:16:18Z,662,YaoBlocks.jl_snapshots,1,Simulator,,Standard basic quantum circuit simulator building blocks.
qojulia/QuantumOptics.jl,QuantumOptics.jl,2016-03-16T22:05:35Z,qojulia,49,5089,265,26,5,434,20,1,0,Julia,1,215,270,2016-03-16T22:05:35Z,2020-09-18T21:07:25Z,1646,QuantumOptics.jl_snapshots,1,Library/ Framework,http://qojulia.org,Library for the numerical simulation of closed as well as open quantum systems.
MolSSI/QCFractal,QCFractal,2017-01-19T20:28:18Z,MolSSI,28,8274,85,26,63,2494,16,1,0,Python,1,382,553,2017-01-19T20:28:18Z,2020-09-17T20:02:21Z,1336,QCFractal_snapshots,1,Chemistry/ Other-Quantum,http://docs.qcarchive.molssi.org/projects/qcfractal/en/latest/,A distributed compute and database platform for quantum chemistry. 
Qiskit/qiskit-ibmq-provider,qiskit-ibmq-provider,2018-12-26T15:22:11Z,Qiskit,73,1608,76,24,30,365,16,1,0,Python,1,479,725,2018-12-26T15:22:11Z,2020-09-24T01:54:14Z,637,qiskit-ibmq-provider_snapshots,1,Full-stack Library/ Framework,,Qiskit Provider for accessing the quantum devices and simulators at IBMQ
